Day,Strain,Pathlength,Line
1,25174,11.452,208
1,25174,11.064,208
1,25174,5.544,208
1,25174,6.852,208
1,25174,6.218,208
1,25174,5.106,208
1,25174,7.496,208
1,25174,10.504,208
1,25174,6.954,208
1,25174,7.992,208
1,25174,6.242,208
1,25174,0.736,208
1,25174,2.448,208
1,25174,2.358,208
1,25174,4.798,208
1,25174,2.37,208
1,25174,3.724,208
1,25174,3.35,208
1,25174,2.402,208
1,25174,1.514,208
2,25174,5.132,208
2,25174,5.24,208
2,25174,4.168,208
2,25174,5.658,208
2,25174,4.356,208
2,25174,5.098,208
2,25174,7.18,208
2,25174,8.816,208
2,25174,6.288,208
2,25174,5.138,208
2,25174,2.846,208
2,25174,4.402,208
2,25174,3.598,208
2,25174,4.372,208
2,25174,0.946,208
2,25174,5.62,208
2,25174,5.796,208
2,25174,2.204,208
2,25174,8.022,208
2,25174,1.018,208
3,25174,6.072,208
3,25174,5.9,208
3,25174,6.16,208
3,25174,10.076,208
3,25174,4.842,208
3,25174,4.692,208
3,25174,5.088,208
3,25174,3.904,208
3,25174,4.436,208
3,25174,6,208
3,25174,3.064,208
3,25174,5.03,208
3,25174,4.42,208
3,25174,2.77,208
3,25174,4.586,208
3,25174,3.45,208
3,25174,6.286,208
3,25174,3.284,208
3,25174,3.938,208
3,25174,2.622,208
4,25174,6.344,208
4,25174,7.07,208
4,25174,6.02,208
4,25174,8.344,208
4,25174,10.478,208
4,25174,8.826,208
4,25174,5.696,208
4,25174,4.832,208
4,25174,9.08,208
4,25174,6.372,208
4,25174,6.272,208
4,25174,5.832,208
4,25174,6.59,208
4,25174,1.104,208
4,25174,1.474,208
4,25174,2.95,208
4,25174,0.842,208
4,25174,1.622,208
5,25174,7.096,208
5,25174,4.81,208
5,25174,5.35,208
5,25174,8.206,208
5,25174,10.35,208
5,25174,10.394,208
5,25174,5.016,208
5,25174,7.77,208
5,25174,3.906,208
5,25174,6.318,208
5,25174,8.966,208
5,25174,3.78,208
5,25174,5.208,208
5,25174,5.922,208
5,25174,8.008,208
5,25174,3.062,208
5,25174,3.642,208
5,25174,3.81,208
5,25174,5.41,208
1,25175,6.986,301
1,25175,4.754,301
1,25175,3.716,301
1,25175,4.48,301
1,25175,3.424,301
1,25175,4.492,301
1,25175,4.588,301
1,25175,5.986,301
1,25175,5.696,301
1,25175,7.126,301
1,25175,8.204,301
1,25175,3.414,301
1,25175,7.79,301
1,25175,3.35,301
1,25175,8.488,301
1,25175,6.056,301
1,25175,2.742,301
1,25175,2.37,301
1,25175,4.586,301
2,25175,9.32,301
2,25175,8.564,301
2,25175,10.4,301
2,25175,11.888,301
2,25175,11.27,301
2,25175,6.042,301
2,25175,11.238,301
2,25175,11.122,301
2,25175,4.392,301
2,25175,8.338,301
2,25175,7.462,301
2,25175,5.262,301
2,25175,8.026,301
2,25175,6.952,301
2,25175,12.018,301
2,25175,5.8,301
2,25175,8.09,301
2,25175,3.572,301
2,25175,5.672,301
2,25175,6.024,301
3,25175,7.574,301
3,25175,5.422,301
3,25175,8.328,301
3,25175,6.416,301
3,25175,8.68,301
3,25175,9.964,301
3,25175,5.354,301
3,25175,2.644,301
3,25175,6.978,301
3,25175,7.218,301
3,25175,9.256,301
3,25175,6.374,301
3,25175,4.486,301
3,25175,12.75,301
3,25175,3.71,301
3,25175,6.132,301
3,25175,9.118,301
3,25175,8.694,301
3,25175,5.826,301
3,25175,9.79,301
4,25175,6.098,301
4,25175,4.396,301
4,25175,3.556,301
4,25175,5.85,301
4,25175,5.224,301
4,25175,3.51,301
4,25175,6.78,301
4,25175,3.972,301
4,25175,4.054,301
4,25175,6.85,301
4,25175,7.192,301
4,25175,4.34,301
4,25175,2.876,301
4,25175,4.384,301
4,25175,9.044,301
4,25175,10.148,301
4,25175,4.522,301
4,25175,4.288,301
4,25175,3.766,301
4,25175,1.684,301
5,25175,6.166,301
5,25175,7.574,301
5,25175,11.218,301
5,25175,6.756,301
5,25175,6.638,301
5,25175,5.174,301
5,25175,4.686,301
5,25175,7.294,301
5,25175,4.124,301
5,25175,8.96,301
5,25175,8.922,301
5,25175,0.914,301
5,25175,4.646,301
5,25175,8.244,301
5,25175,1.15,301
5,25175,6.34,301
5,25175,2.612,301
5,25175,2.246,301
5,25175,1.55,301
5,25175,0.606,301
1,25176,6.064,303
1,25176,5.26,303
