 Date,Line,Distance,Temp
12/21/09,208,0.259,21
1/2/10,208,0.301,21.4
1/2/10,208,0.315,21.4
1/11/10,208,0.317,22.8
1/2/10,208,0.320,21.4
1/2/10,208,0.325,21.5
1/2/10,208,0.358,21.5
1/2/10,208,0.368,21.4
1/2/10,208,0.374,21.5
1/11/10,208,0.398,22.8
1/2/10,208,0.401,21.5
1/2/10,208,0.412,21.4
1/2/10,208,0.462,21.5
1/11/10,208,0.466,22.8
1/2/10,208,0.487,21.5
1/2/10,208,0.511,21.4
1/11/10,208,0.563,22.8
1/11/10,208,0.587,22.8
1/2/10,208,0.595,21.4
1/2/10,208,0.598,21.4
1/2/10,208,0.627,21.5
1/11/10,208,0.639,22.8
1/11/10,208,0.684,22.8
1/2/10,208,0.687,21.4
12/21/09,208,0.698,21
12/15/09,208,0.700,21.2
1/2/10,208,0.715,21.4
1/2/10,208,0.724,21.5
1/11/10,208,0.742,22.8
1/2/10,208,0.747,21.4
1/2/10,208,0.747,21.4
1/11/10,208,0.767,22.8
1/2/10,208,0.773,21.4
1/2/10,208,0.787,21.4
1/11/10,208,0.807,22.8
1/2/10,208,0.840,21.4
1/2/10,208,0.853,21.4
1/2/10,208,0.878,21.4
1/11/10,208,0.880,22.8
1/2/10,208,0.895,21.4
1/11/10,208,0.902,22.8
1/2/10,208,0.950,21.4
1/2/10,208,0.967,21.4
1/11/10,208,0.997,22.8
1/2/10,208,1.114,21.4
1/2/10,208,1.329,21.4
1/2/10,208,1.341,21.4
1/11/10,208,1.411,22.8
1/2/10,208,2.000,21.4
1/11/10,208,4.813,22.8
1/13/10,301,0.255,22.4
1/16/10,301,0.588,21.6
1/16/10,301,0.640,21.6
1/13/10,301,0.662,22.4
1/16/10,301,0.681,21.6
1/11/10,301,0.714,22.8
1/16/10,301,0.889,21.6
1/2/10,301,0.922,21.5
1/16/10,301,0.923,21.6
12/15/09,301,0.943,21.1
1/11/10,301,0.949,22.8
1/11/10,301,0.963,22.8
1/11/10,301,1.014,22.8
1/2/10,301,1.080,21.5
1/11/10,301,1.113,22.8
1/13/10,301,1.134,22.4
12/15/09,301,1.168,21.1
1/2/10,301,1.179,21.5
1/2/10,301,1.183,21.5
1/13/10,301,1.184,22.4
1/2/10,301,1.185,21.5
1/11/10,301,1.201,22.8
1/11/10,301,1.230,22.8
1/11/10,301,1.279,22.8
1/13/10,301,1.282,22.4
1/11/10,301,1.395,22.8
1/2/10,301,1.417,21.5
1/2/10,301,1.524,21.5
1/11/10,301,1.555,22.8
1/11/10,301,1.625,22.8
1/11/10,301,1.703,22.8
1/2/10,301,1.814,21.5
1/2/10,301,2.046,21.5
1/2/10,301,2.085,21.5
1/16/10,301,2.169,21.6
1/2/10,301,2.380,21.5
1/16/10,301,2.486,21.6
1/2/10,301,2.684,21.5
12/15/09,301,2.786,21.1
1/16/10,301,2.802,21.6
1/11/10,301,2.892,22.8
1/16/10,301,2.933,21.6
1/13/10,301,2.968,22.4
12/15/09,301,3.200,21.1
1/16/10,301,3.229,21.6
1/16/10,301,3.492,21.6
12/15/09,301,3.996,21.1
1/16/10,301,4.010,21.6
1/2/10,301,4.299,21.5
1/2/10,301,5.374,21.5
1/2/10,301,5.919,21.5
12/15/09,301,5.972,21.1
1/2/10,301,6.374,21.5
1/13/10,301,7.209,22.4
1/11/10,301,9.589,22.8
1/2/10,301,10.363,21.5
11/24/09,303,0.361,20
12/15/09,303,0.463,21.1
11/24/09,303,0.465,20
12/10/09,303,0.482,21
11/24/09,303,0.505,20
12/10/09,303,0.556,21.1
12/15/09,303,0.582,21.5
12/10/09,303,0.583,21
12/10/09,303,0.603,21
11/23/09,303,0.752,20.4
12/15/09,303,0.755,22.7
12/15/09,303,0.757,21.1
12/15/09,303,0.809,21.1
11/24/09,303,0.864,20
12/15/09,303,0.866,22.7
12/15/09,303,0.883,21.1
12/15/09,303,0.889,22.7
11/23/09,303,0.909,20.4
12/10/09,303,1.061,21
12/15/09,303,1.176,21.1
11/23/09,303,1.229,20.4
12/15/09,303,1.320,22.7
12/15/09,303,1.340,21.1
11/23/09,303,1.412,20.4
12/10/09,303,1.439,21.1
12/10/09,303,1.909,21
12/15/09,303,2.337,22.7
12/15/09,303,2.479,21.5
12/15/09,303,2.534,21.1
12/10/09,303,4.392,21
12/15/09,303,4.485,21.5
12/10/09,303,4.688,21.1
12/15/09,303,4.861,21.1
12/15/09,303,5.029,21.1
12/10/09,303,5.044,21.1
12/15/09,303,5.136,21.5
11/23/09,303,5.214,20.4
12/15/09,303,5.336,21.5
12/15/09,303,5.391,21.1
12/10/09,303,5.480,21.1
12/15/09,303,5.510,21.5
12/15/09,303,5.544,21.1
12/15/09,303,5.669,21.5
12/10/09,303,6.043,21
12/10/09,303,6.148,21
12/15/09,303,6.570,21.5
12/15/09,303,6.881,22.7
12/15/09,303,7.671,21.5
12/10/09,303,8.253,21
12/15/09,303,9.291,21.5
12/10/09,303,9.463,21
12/15/09,303,9.699,22.7
12/15/09,303,10.057,21.5
12/10/09,303,10.190,21
12/10/09,303,10.276,21
12/15/09,303,11.211,21.5
1/25/10,304,0.410,22.5
1/19/10,304,0.438,22.5
1/25/10,304,0.485,22.5
1/19/10,304,0.523,22.5
1/25/10,304,0.552,22.5
1/25/10,304,0.558,22.5
1/25/10,304,0.575,22.5
1/18/10,304,0.579,23
1/25/10,304,0.629,22.5
1/19/10,304,0.675,22.5
